Name,Url,Authority,Started On,Finished On,License Number
Become a Back-End Web Developer,https://www.linkedin.com/learning/certificates/169f073a3cfdf2ca826caffc254e4ff28bc29c12ff798add5f37d0f31cb34ae6,LinkedIn,Nov 2022,,
Starting Your Career in Tech: Data Science,https://www.linkedin.com/learning/certificates/3869bc7c71e5ce352fae6e01f8f8146574b10c510cf88d7c29bc0e392947580b,LinkedIn,Nov 2022,,
Develop Your Data Analysis Skills,https://www.linkedin.com/learning/certificates/ab4e250dda3f6c91aba45bacd01b447117547f1fee3b5d5296b1fd88debe30e7,LinkedIn,Nov 2022,,
Explore a Career in Computer Forensics,https://www.linkedin.com/learning/certificates/cab96e82e3b102ee30720fb2e2440d910aa0dcdbe25f9633bf743f154d7ee0f0,LinkedIn,Nov 2022,,
Become a Data Analyst,https://www.linkedin.com/learning/certificates/eed516dbb71833def9229a5b6dcb2fff2f5901f16c5c280ae8d9b5af51b59349,LinkedIn,Nov 2022,,
Become a Business Intelligence Specialist,https://www.linkedin.com/learning/certificates/a78f443bb0d80009f8d03eb56974282d096dbf428af45bd736750a59c1554bfe,LinkedIn,Nov 2022,,
Master Cybersecurity Management,https://www.linkedin.com/learning/certificates/d900a6bdc519aa0cd0533f398474be17ace1296b800b352cce546c383a236a2f,LinkedIn,Nov 2022,,
Mastering Data Governance and Ethics,https://www.linkedin.com/learning/certificates/2cde92526e0dbfce58409bef278b77025c9d4877f00868edde814e23e07049ee,LinkedIn,Nov 2022,,
Visual Communication for Business Professionals,https://www.linkedin.com/learning/certificates/d8b172d7a326833a40a687b6efeb5df7d1af9aef6250e88d422bbdcd4e7fe4cb,LinkedIn,Nov 2022,,
Become a Data Visualization Specialist: Tools,https://www.linkedin.com/learning/certificates/925e8b9d6a5b3bbca4146b5139c993903609cf664ae29bd8aec6a80657b77711,LinkedIn,Nov 2022,,
Become a Power BI Specialist,https://www.linkedin.com/learning/certificates/3e18a43a591cce7b89ad7527b9f03b0695e450e54126084cac868949707037a3,LinkedIn,Nov 2022,,
Become a JavaScript Developer,https://www.linkedin.com/learning/certificates/016955136fa487345aa14a9311deb4a22c8cf3e391cd1d9b5c432bea15de7577,LinkedIn,Nov 2022,,
Advance Your Data Engineering Skills,https://www.linkedin.com/learning/certificates/bc1d4f3325d31e16e76e93257dafd9d89726bedea193ade42de1d3c99bb54f75,LinkedIn,Nov 2022,,
Improve Your Test Automation with Python Skills,https://www.linkedin.com/learning/certificates/df8eb3000507390edd3fd81ebe43812761394ade2ee6b4ac93be0578406783ff,LinkedIn,Nov 2022,,
Get Ahead In Data Science,https://www.linkedin.com/learning/certificates/2b244d61c93f29d0c24f6c482d3672aa8db7b3d976a7d849fbaf828915615cea,LinkedIn,Nov 2022,,
Advance Your Skills in Predictive Analytics,https://www.linkedin.com/learning/certificates/dc0d968679f2e4ccc0be8551690d855cd43f2b78fabf3e15f66057ac42d05019,LinkedIn,Nov 2022,,
